Protein.Group,Gene.Symbol,hDIA02_2nd_fraction001,hDIA02_2nd_fraction002,hDIA02_2nd_fraction003,hDIA02_2nd_fraction004,hDIA02_2nd_fraction005,hDIA02_2nd_fraction006,hDIA02_2nd_fraction007,hDIA02_2nd_fraction008,hDIA02_2nd_fraction009,hDIA02_2nd_fraction010,hDIA02_2nd_fraction011,hDIA02_2nd_fraction012,hDIA02_2nd_fraction013,hDIA02_2nd_fraction014,hDIA02_2nd_fraction015,hDIA02_2nd_fraction016,hDIA02_2nd_fraction017,hDIA02_2nd_fraction018,hDIA02_2nd_fraction019,hDIA02_2nd_fraction020,hDIA02_2nd_fraction021,hDIA02_2nd_fraction022,hDIA02_2nd_fraction023,hDIA02_2nd_fraction024,hDIA02_2nd_fraction025,hDIA02_2nd_fraction026,hDIA02_2nd_fraction027,hDIA02_2nd_fraction028,hDIA02_2nd_fraction029,hDIA02_2nd_fraction030,hDIA02_2nd_fraction031,hDIA02_2nd_fraction032,hDIA02_2nd_fraction033,hDIA02_2nd_fraction034,hDIA02_2nd_fraction035,hDIA02_2nd_fraction036,hDIA02_2nd_fraction037,hDIA02_2nd_fraction038,hDIA02_2nd_fraction039,hDIA02_2nd_fraction040,hDIA02_2nd_fraction041,hDIA02_2nd_fraction042,hDIA02_2nd_fraction043,hDIA02_2nd_fraction044,hDIA02_2nd_fraction045,hDIA02_2nd_fraction046,hDIA02_2nd_fraction047,hDIA02_2nd_fraction048,hDIA02_2nd_fraction049,hDIA02_2nd_fraction050,hDIA02_2nd_fraction051,hDIA02_2nd_fraction052,hDIA02_2nd_fraction053,hDIA02_2nd_fraction054,hDIA02_2nd_fraction055,hDIA02_2nd_fraction056,hDIA02_2nd_fraction057,hDIA02_2nd_fraction058,hDIA02_2nd_fraction059,hDIA02_2nd_fraction060,hDIA02_2nd_fraction061,hDIA02_2nd_fraction062,hDIA02_2nd_fraction063,hDIA02_2nd_fraction064,hDIA02_2nd_fraction065,hDIA02_2nd_fraction066,hDIA02_2nd_fraction067,hDIA02_2nd_fraction068,hDIA02_2nd_fraction069,hDIA02_2nd_fraction070,hDIA02_2nd_fraction071,hDIA02_2nd_fraction072,hDIA02_2nd_fraction073,hDIA02_2nd_fraction074,hDIA02_2nd_fraction075,hDIA02_2nd_fraction076,hDIA02_2nd_fraction077,hDIA02_2nd_fraction078,hDIA02_2nd_fraction079,hDIA02_2nd_fraction080,hDIA02_2nd_fraction081,hDIA02_2nd_fraction082,hDIA02_2nd_fraction083,hDIA02_2nd_fraction084,hDIA02_2nd_fraction085,hDIA02_2nd_fraction086,hDIA02_2nd_fraction087,hDIA02_2nd_fraction088,hDIA02_2nd_fraction089,hDIA02_2nd_fraction090,hDIA02_2nd_fraction091,hDIA02_2nd_fraction092,hDIA02_2nd_fraction093,hDIA02_2nd_fraction094,hDIA02_2nd_fraction095,hDIA02_2nd_fraction096,hDIA02_2nd_fraction097,hDIA02_2nd_fraction098,hDIA02_2nd_fraction099,hDIA02_2nd_fraction100,hDIA02_2nd_fraction101,hDIA02_2nd_fraction102,hDIA02_2nd_fraction103,hDIA02_2nd_fraction104,hDIA02_2nd_fraction105,hDIA02_2nd_fraction106,hDIA02_2nd_fraction107,hDIA02_2nd_fraction108,hDIA02_2nd_fraction109,hDIA02_2nd_fraction110,hDIA02_2nd_fraction111,hDIA02_2nd_fraction112,hDIA02_2nd_fraction113,hDIA02_2nd_fraction114,hDIA02_2nd_fraction115,hDIA02_2nd_fraction116,hDIA02_2nd_fraction117,hDIA02_2nd_fraction118,hDIA02_2nd_fraction119,hDIA02_2nd_fraction120,hDIA02_2nd_fraction121,hDIA02_2nd_fraction122,hDIA02_2nd_fraction123,hDIA02_2nd_fraction124,hDIA02_2nd_fraction125,hDIA02_2nd_fraction126,hDIA02_2nd_fraction127,hDIA02_2nd_fraction128,hDIA02_2nd_fraction129,hDIA02_2nd_fraction130,hDIA02_2nd_fraction131,hDIA02_2nd_fraction132,hDIA02_2nd_fraction133,hDIA02_2nd_fraction134,hDIA02_2nd_fraction135,hDIA02_2nd_fraction136,hDIA02_2nd_fraction137,hDIA02_2nd_fraction138,hDIA02_2nd_fraction139,hDIA02_2nd_fraction140,hDIA02_2nd_fraction141,hDIA02_2nd_fraction142,hDIA02_2nd_fraction143,hDIA02_2nd_fraction144,hDIA02_2nd_fraction145,hDIA02_2nd_fraction146,hDIA02_2nd_fraction147,hDIA02_2nd_fraction148,hDIA02_2nd_fraction149,hDIA02_2nd_fraction150,hDIA02_2nd_fraction151,hDIA02_2nd_fraction152,hDIA02_2nd_fraction153,hDIA02_2nd_fraction154,hDIA02_2nd_fraction155,hDIA02_2nd_fraction156,hDIA02_2nd_fraction157,hDIA02_2nd_fraction158,hDIA02_2nd_fraction159,hDIA02_2nd_fraction160,hDIA02_2nd_fraction161,hDIA02_2nd_fraction162,hDIA02_2nd_fraction163,hDIA02_2nd_fraction164,hDIA02_2nd_fraction165,hDIA02_2nd_fraction166,hDIA02_2nd_fraction167,hDIA02_2nd_fraction168,hDIA02_2nd_fraction169,hDIA02_2nd_fraction170,hDIA02_2nd_fraction171,hDIA02_2nd_fraction172,hDIA02_2nd_fraction173,hDIA02_2nd_fraction174,hDIA02_2nd_fraction175,hDIA02_2nd_fraction176,hDIA02_2nd_fraction177,hDIA02_2nd_fraction178,hDIA02_2nd_fraction179,hDIA02_2nd_fraction180,hDIA02_2nd_fraction181,hDIA02_2nd_fraction182,hDIA02_2nd_fraction183,hDIA02_2nd_fraction184,hDIA02_2nd_fraction185,hDIA02_2nd_fraction186,hDIA02_2nd_fraction187,hDIA02_2nd_fraction188,hDIA02_2nd_fraction189,hDIA02_2nd_fraction190,hDIA02_2nd_fraction191,hDIA02_2nd_fraction192
Q13619,CUL4A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58836.85633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,373308.5846,625702.4115,1696399.206,2040735.335,2806460.072,3764773.966,1552803.758,2093607.498,2707764.828,2674922.41,4667213.788,6107326.284,8841535.775,11851193.98,8421101.984,5362536.174,3085089.65,1915678.054,1387037.019,992630.4495,NA,567626.0179,666956.1069,541879.0097,559528.068,844300.049,740014.5841,757840.8214,736394.6147,736671.2163,844679.9217,853940.8912,704429.9076,625012.8524,600121.123,403703.9859,470599.0245,375868.2107,319550.5949,281302.3713,267157.323,296188.5287,190951.4721,242915.2047,197258.0359,109600.6445,197362.7257,190825.3408,178218.7117,180060.101,182339.2221,172054.9593,169319.5658,114026.7438,82261.89541,82637.15753,79684.81809,77728.48959,63501.07059,94419.82243,44954.58196,47824.26282,34972.11722,62134.4201,41008.25171,27783.95141,49348.40035,40801.24174,44976.16065,24940.35768,45301.35696,49585.65696,NA,47800.26711,42949.73063,31356.54289,38771.52375,30070.41406,36541.5638,26160.3445,29931.15693,39733.608,37421.23888,36180.91039,42056.57694,25509.44702,21805.12382,26602.21415,32271.66119,23601.82796,28229.30761,33193.34242,32019.60373,NA,20760.79788,NA,NA,15247.83565,10577.90206,7312.486373,9905.87872,NA
Q13620,CUL4B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160548.5677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1810287.083,NA,7116227.695,11613709.48,432397.1501,331838.9932,366301.1337,10832751.07,10077766.04,10738867.27,9837560.435,5388914.934,6398994.157,3608828.13,NA,NA,1692058.09,2551458.024,4151667.746,4150848.85,1716554.51,NA,2156455.709,NA,998767.3422,1644955.248,2709187.473,3351184.545,3769193.364,3700276.928,4403318.522,5260892.359,2416006.119,3469989.033,3732582.787,4309428.089,8917895.008,11140027.32,11235974.04,14645258.61,11853428.74,8573933.87,5329000.824,3510497.724,2631432.302,1831431.117,474072.1258,1071393.032,1235030.59,857227.0825,825240.1236,1121921.116,875928.4481,926594.8931,882256.6388,1089609.043,1171121.137,941669.0738,971766.3752,791235.0095,715370.2114,635646.4232,651915.33,513714.8434,410765.2527,397405.5862,390114.4118,447992.4505,289346.9906,333364.9578,340368.6141,212054.1645,326835.3222,297521.4094,375722.2893,328990.8018,386116.0848,381474.8573,377456.881,310622.3281,194810.3837,215258.8914,233800.3443,191728.5718,198576.8658,245773.4653,124747.8346,167543.8663,99583.98819,160565.0534,134206.0741,115588.5183,140949.3639,140427.4042,164223.8482,114122.6619,141716.4852,166585.4507,59451.77704,151218.2079,158620.8376,138340.1392,190181.4695,111460.9405,106332.5987,151995.661,125368.8505,124367.1505,98365.68231,134789.4572,82219.64182,106455.9602,92138.11221,122139.7265,123384.7071,134426.5738,161753.6981,164983.6629,130461.8786,94975.53095,107020.6777,57100.79607,94242.75692,68343.01746,49266.85343,54281.77676,68983.69236,NA
Q93034,CUL5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1196121.101,NA,NA,461353.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1553026.538,8082878.968,14268920.85,24833688.41,39661297.72,49232236.75,51685492.82,48620377.33,46301242.78,43657045.92,17475284.47,21181386.19,23397028.54,16162725.15,15507546.43,11963507.52,10127095.25,8976590.4,7498554.601,6894958.075,5622632.101,4389876.956,4101234.842,3935060.17,2505719.157,3188605.642,3427465.602,3030033.675,2676468.007,3417211.773,2722273.02,2291875.819,2465446.948,2597675.856,2790260.335,2307750.143,2286138.288,1953201.144,2116990.711,1659258.202,1804243.937,1618200.615,1350497.158,1390506.88,1370449.664,1468340.115,897817.6085,1476713.75,1193292.036,947657.1394,1105263.804,1109290.761,1285917.074,1112802.135,1177478.67,1091738.867,1251672.174,934355.3577,654254.1125,706490.4974,821495.5045,644458.6552,744974.9562,716765.0383,548177.1698,572123.8035,410754.37,463743.115,490707.1637,363328.8169,449460.5114,472630.9854,430335.8724,276384.1924,393913.3395,507455.5606,234520.6255,467264.9668,420435.2576,440322.4444,448867.0162,415894.9588,441921.3556,369133.1507,450007.9173,458665.1859,406603.6416,429620.3124,366001.2705,384560.5606,341686.3001,405167.4123,384458.5181,424871.6334,432803.9848,395925.8682,366450.8121,303560.3676,353043.7684,155728.7373,327398.1112,251210.9309,233471.1876,251357.4988,256558.3398,132455.6986
O60888,CUTA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13407300,NA,NA,NA,11639000,NA,2179690,NA,NA,9150810,NA,NA,NA,NA,NA,NA,NA,NA,2876300,NA,NA,3692300,3851000,NA,NA,NA,NA,NA,NA,NA,NA,NA,8730420,NA,NA,32210400,39743800,NA,NA,NA,NA,16729800,NA,NA,4670230,NA,NA,NA,NA,NA,24529500,NA,NA,NA,NA,NA,NA,NA,NA,NA,1704090,1061490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132671,NA,3902270,322150,NA,3147320,1105030,NA,NA,1591630,222016,1351870,NA,NA,3076990,4336010,2712240,NA,738621,990721,6612630,6753810,390671,192143,NA,5393840,152679,NA,294773
Q9NTM9,CUTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,437610.3539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1341050.485,NA,NA,2349674.966,2164226.645,2597908.575,NA,NA,3901663.698,5061881.768,6207783.548,7912811.353,8874382.271,13804678.11,11800764.91,14818906.9,6686560.531,8708066.626,10015962.18,6197702.671,6091148.5,5206918.561,NA,3359621.117,NA,2189948.075,1541131.988,974550.2712,NA,693363.5773,NA,565586.1409,NA,NA,NA,NA,NA,NA,296056.4646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161426.209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9P013,CWC15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,912629.6187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237118.8893,508756.4404,876514.3722,NA,1751985.597,1910291.802,1311565.29,714479.7959,518343.9,307419.8628,NA,314409.5277,286058.9895,547477.8811,616988.5719,798405.1698,821198.7792,1007815.45,772457.2647,741749.1069,667352.9409,461286.21,326635.6728,365040.5179,NA,299189.3453,437496.7602,396916.9583,309226.7079,384580.0667,306455.1733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P14854,COX6B1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41720226.62,150086324.2,177328129.2,73386204.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P17302,GJA1,1044954.047,835208.8931,797188.6846,675078.702,NA,NA,NA,528563.7636,710222.5688,417047.0376,NA,NA,252940.5841,268567.0708,256058.0521,142988.039,NA,163989.1678,225055.0621,212839.3589,186826.3116,193946.6199,188737.4867,196527.5868,183927.2992,248327.9885,298523.6182,226057.4244,206710.7804,259267.2856,155034.7833,190788.4503,NA,196474.3502,250614.3519,130733.5904,181652.9374,149909.2852,128248.6333,107910.6968,534823.7727,423467.5913,434411.0248,455679.623,369820.7944,377595.7444,317494.3314,263730.4373,187769.9611,373137.3222,303932.7474,365129.6502,419275.3551,738774.5973,786908.2243,688287.4639,1383488.336,1255666.638,4637279.65,3930169.287,4143827.22,4943547.164,7930287.719,6849557.718,6308582.922,9572706.392,9466720.741,15939517.97,23548036.23,21733376.43,30782211.18,29597044.57,30080646.95,27565387.82,30018379.38,18699010.73,20544622.7,13585386.06,6182489.984,1208708.895,4115957.362,5004855.154,4799288.355,3980252.54,2694837.681,2771481.215,1894068.731,1752680.682,1592891.869,1318222.456,1699546.047,1376834.441,1657845.98,1760372.327,1785161.72,1382846.226,247214.7631,191349.5382,314566.6439,209411.3902,298458.8011,168305.9724,156321.8291,229382.2698,127705.651,129772.0299,97510.41299,114765.101,119452.1451,NA,NA,172343.8162,158218.6524,NA,178206.3697,340503.9993,214965.8478,231489.7668,329754.6395,336276.1087,1215115.023,NA,NA,1398067.616,NA,NA,1166546.348,928602.5401,NA,NA,532111.4196,562431.8083,136539.8554,323508.5031,NA,NA,NA,NA,NA,376180.7313,287820.0736,348134.7559,351331.4605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27243.86054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P78310,CXADR,1663029.012,1798439.807,1644815.939,1510372.449,931447.548,883092.3882,1064877.938,1118587.123,1373886.992,1229102.282,1020627.06,830509.4342,920769.2002,888012.2673,742795.5785,687588.951,675697.1313,623262.9518,671408.7121,652451.5107,503786.1095,571151.3182,516525.6868,522114.5915,445974.7116,509827.2969,496347.8064,374461.4741,382815.2945,395146.8811,368616.1993,369391.5726,378369.7724,366410.8805,358840.0953,256893.2255,290188.8437,277265.8848,278849.1914,301837.8939,327729.6011,347476.1964,371520.2889,376030.8007,333582.0687,308247.1195,206265.2743,251081.0675,158763.4126,179863.1432,186479.8306,277907.536,380808.9271,675973.1225,821644.4588,1004502.977,1349748.974,957313.3514,1826920.263,2184793.042,1679564.474,1509461.919,1719508.01,1094350.169,941679.8168,1067993.888,1121294.464,1382114.969,1119679.602,1013151.294,1970682.343,2268649.017,1013999.323,744023.5093,590382.7818,676096.5835,981375.3108,NA,NA,NA,NA,388442.5978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P00167,CYB5A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341511.2824,531042.3235,818667.1753,896224.2473,756626.604,250057.6293,NA,NA,NA,NA,NA,NA,NA,NA,371591.7375,545542.3216,854787.1779,1832174.798,2653956.327,2934392.563,3048701.296,2058726.487,1279367.415,606784.613,NA,NA,134366.0195,NA,NA,213676.5083,196601.5995,130351.5584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O43169,CYB5B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4433630,5969820,NA,NA,4341480,5121940,NA,3873240,3501770,NA,NA,NA,440170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9HB71,CACYBP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,716522.6859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1353982.74,209278.2222,313710.6117,493802.9313,596664.9105,1040003.432,1004953.498,547072.1725,416352.9113,2050224.011,2716242.689,3229313.944,7464698.031,6320592.956,3247052.169,4279793.904,2348917.284,NA,NA,1069967.964,NA,5051195.647,25248247.68,37735938.89,31060490.2,25313791.29,28957155.16,94170723.89,124837803.5,253799177.9,197900187.6,101383926,67776581.89,38561229.72,34014887.52,20746802.77,14985036.1,11229592.8,2863895.48,3687051.446,3659382.222,2493428.083,3053523.489,2096897.988,1743190.464,1982177.475,1539772.89,1451287.896,1210604.886,986862.9284,1115129.392,1020783.562,NA,638518.3089,957704.1398,653676.1804,706378.2881,707634.5315,770941.5817,706190.2364,955407.6227,1040009.718,1755925.315,2016747.767,2305983.091,1808757.45,1852064.435,1153284.713,1176972.624,1227303.607,1119097.227,791549.358,747503.4445,653022.5362,425800.2207,755062.3098,618743.1342,500788.7105,647534.1901,700648.4211,674836.2686,554027.7908,717767.3155,586477.7252,672979.6438,439221.628,263425.5441,226273.8435,315975.1644,273015.3129,253948.2245,262014.4317,229860.4205,180340.6555,75384.95997,171781.3441,152867.668,130024.4637,132727.7606,222092.4441,177966.034,90100.78509,118269.8562,128298.8665,NA,81181.73124,143182.511,NA,NA,105763.7892,113081.0339,NA,163814.5468,104013.6726,106829.5152,127247.6027,66612.82879,43959.38545,74619.45628,NA,108680.2839,82431.17413,120909.7389,NA,NA,NA,98893.29183,NA,89440.29213,NA,NA,NA,NA,146976.2237
Q53TN4,CYBRD1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289276.8264,NA,342385.4396,297275.5789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P99999,CYCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1352682.992,155177.1569,110100.7425,108319.4857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,484634.7295,1225054.187,5117559.41,11390217.66,14930419.72,14676695.98,13493595.88,11993366.69,12906117.71,8802866.711,7724674.922,6517818.522,3951403.015,4574198.522,8458935.237,5472210.389,8703125.245,10793843.82,3415486.282,3163040.85,8368525.069,15212890.78,21165825.2,23815828.88,15074130.55,26713030.5,52885358.96,63075567.24,28269859.9,81382553.99,746566927.1,1305540823,796027010.4,134145237.6,59056599.13,48276951.68,10254677.12,8891817.133,7084718.989,3193060.005,3765888.646,2243891.263,1675644.362,1768128.664,1168914.082,1432782.498,865377.2637,777710.3941,676920.3109,616032.3343,NA,731195.2881,641079.7262,808787.5274,433636.4916,1250336.738,702498.7746,714535.6332,1149615.765,866888.5663,1606854.375,1564291.05,1333304.359,1003468.353,988632.0608,744165.9767,1085286.041,958405.1695,794058.8181,718731.1987,611484.2341,947090.232,584243.0953,844560.3967,741387.2524,535943.8062,616766.1163,626655.2916,597549.0587,489453.2452,556487.4748,494889.0669,639058.3483,502496.0427,328274.1803,263143.7229,275828.2712,294324.9512,NA,389265.987,303256.2194,242079.3185,148677.1686,211049.0081,170319.8524,138545.0967,189442.5161,NA,NA,126295.2341,145414.3269,207590.6826,NA,NA,189852.6896,129186.6825,212692.383,167464.7232,137592.2073,205895.0307,224217.454,157896.6892,192546.2321,195065.7884,115712.7579,146427.5877,146830.0812,152376.7726,207139.21,138198.5049,173353.433,188769.6171,NA,130734.5805,183224.2305,74781.48125,101308.1618,100641.4288,85450.2647,85435.67541,195418.5755,NA
